transaction_id,account_id,booking_ts,value_ts,amount,currency,direction,channel,merchant_id,counterparty_id,txn_type,status
TXN0000000001,ACC0000001,2024-05-26T20:38:46+00:00,2024-05-26T20:38:46+00:00,-69.84,EUR,OUT,CARD,MRC000001,,CARD_PURCHASE,BOOKED
TXN0000000002,ACC0000001,2024-05-13T05:20:04+00:00,2024-05-13T05:20:04+00:00,-1146.72,EUR,OUT,CARD,MRC000006,,CARD_PURCHASE,BOOKED
TXN0000000003,ACC0000001,2024-06-27T15:02:32+00:00,2024-06-27T15:02:32+00:00,-36.84,EUR,OUT,CARD,MRC000009,,CARD_PURCHASE,BOOKED
TXN0000000004,ACC0000001,2024-06-03T03:58:45+00:00,2024-06-03T03:58:45+00:00,-1675.81,EUR,OUT,TRANSFER,,CP000389,TRANSFER,BOOKED
TXN0000000005,ACC0000001,2024-06-28T12:01:22+00:00,2024-06-28T12:01:22+00:00,5032.03,EUR,IN,TRANSFER,,CP000234,TRANSFER,BOOKED
TXN0000000006,ACC0000001,2024-06-28T21:03:34+00:00,2024-06-28T21:03:34+00:00,-962.72,EUR,OUT,CARD,MRC000001,,CARD_PURCHASE,BOOKED
TXN0000000007,ACC0000001,2024-06-27T09:00:59+00:00,2024-06-27T09:00:59+00:00,-34.18,EUR,OUT,CARD,MRC000004,,CARD_PURCHASE,BOOKED
TXN0000000008,ACC0000001,2024-07-30T20:17:37+00:00,2024-07-30T20:17:37+00:00,-48.04,EUR,OUT,CARD,MRC000002,,CARD_PURCHASE,BOOKED
TXN0000000009,ACC0000001,2024-07-28T19:15:55+00:00,2024-07-28T19:15:55+00:00,-39.49,EUR,OUT,CARD,MRC000005,,CARD_PURCHASE,BOOKED
TXN0000000010,ACC0000001,2024-07-01T11:22:29+00:00,2024-07-01T11:22:29+00:00,-40.0,EUR,OUT,ATM,,,ATM_WITHDRAWAL,BOOKED
TXN0000000011,ACC0000001,2024-07-30T08:50:38+00:00,2024-07-30T08:50:38+00:00,-3049.62,EUR,OUT,TRANSFER,,CP000100,TRANSFER,BOOKED
TXN0000000012,ACC0000001,2024-08-01T21:12:01+00:00,2024-08-01T21:12:01+00:00,-20.0,EUR,OUT,ATM,,,ATM_WITHDRAWAL,BOOKED
TXN0000000013,ACC0000001,2024-08-21T06:51:35+00:00,2024-08-21T06:51:35+00:00,-63.4,EUR,OUT,CARD,MRC000019,,CARD_PURCHASE,BOOKED
TXN0000000014,ACC0000001,2024-08-17T20:18:38+00:00,2024-08-17T20:18:38+00:00,-24.51,EUR,OUT,CARD,MRC000002,,CARD_PURCHASE,BOOKED
