dispute_id,transaction_id,reason,opened_date,resolved_date,outcome
DSP0000000001,TXN0000000133,AMOUNT_INCORRECT,2024-01-09,2024-02-22,WON
DSP0000000002,TXN0000000794,MERCHANT_DISPUTE,2024-09-26,,WON
DSP0000000003,TXN0000000837,NOT_RECEIVED,2024-10-10,2025-01-07,LOST
DSP0000000004,TXN0000001074,DUPLICATE,2025-10-17,2025-11-13,PENDING
DSP0000000005,TXN0000001475,DUPLICATE,2025-02-27,2025-05-28,LOST
DSP0000000006,TXN0000002049,NOT_RECEIVED,2025-06-16,2025-08-14,WON
DSP0000000007,TXN0000002668,FRAUD_SUSPECTED,2025-04-10,2025-06-10,WON
DSP0000000008,TXN0000002864,AMOUNT_INCORRECT,2024-08-21,2024-09-08,LOST
DSP0000000009,TXN0000003455,DUPLICATE,2024-06-12,2024-07-28,LOST
DSP0000000010,TXN0000003674,NOT_RECEIVED,2025-04-30,2025-05-18,WON
DSP0000000011,TXN0000003985,DUPLICATE,2023-09-24,2023-11-03,LOST
DSP0000000012,TXN0000004246,FRAUD_SUSPECTED,2025-07-27,2025-09-15,PENDING
DSP0000000013,TXN0000004263,AMOUNT_INCORRECT,2025-10-10,2025-12-18,WON
DSP0000000014,TXN0000004501,UNAUTHORIZED_TRANSFER,2024-04-11,2024-04-17,WON
DSP0000000015,TXN0000004752,WRONG_BENEFICIARY,2024-11-29,2025-01-11,LOST
DSP0000000016,TXN0000005095,NOT_RECEIVED,2026-02-09,2026-04-18,WON
DSP0000000017,TXN0000005396,DUPLICATE,2024-10-06,2024-12-28,WON
DSP0000000018,TXN0000005676,AMOUNT_INCORRECT,2024-06-08,2024-07-28,WON
DSP0000000019,TXN0000005927,FRAUD_SUSPECTED,2025-05-03,2025-07-14,WON
DSP0000000020,TXN0000006145,NOT_RECEIVED,2025-12-19,2026-02-22,PENDING
DSP0000000021,TXN0000006284,FRAUD_SUSPECTED,2026-01-25,2026-03-31,PARTIAL
DSP0000000022,TXN0000007397,AMOUNT_INCORRECT,2026-02-04,2026-03-29,WON
DSP0000000023,TXN0000007500,FRAUD_SUSPECTED,2026-02-13,2026-04-11,PARTIAL
DSP0000000024,TXN0000007632,DUPLICATE,2024-02-03,2024-04-09,WON
DSP0000000025,TXN0000007978,AMOUNT_INCORRECT,2025-09-04,2025-10-26,LOST
DSP0000000026,TXN0000008137,MERCHANT_DISPUTE,2026-01-13,2026-03-10,LOST
DSP0000000027,TXN0000008210,AMOUNT_INCORRECT,2024-01-19,2024-03-19,WON
DSP0000000028,TXN0000008366,MERCHANT_DISPUTE,2024-08-29,2024-10-27,WON
DSP0000000029,TXN0000008534,FRAUD_SUSPECTED,2025-03-05,2025-04-16,PARTIAL
DSP0000000030,TXN0000008942,MERCHANT_DISPUTE,2025-08-15,2025-10-29,PENDING
DSP0000000031,TXN0000009036,FRAUD_SUSPECTED,2026-01-18,2026-03-09,WON
DSP0000000032,TXN0000009072,DUPLICATE,2023-11-27,2023-12-20,LOST
DSP0000000033,TXN0000009109,FRAUD_SUSPECTED,2024-02-18,2024-03-11,WON
DSP0000000034,TXN0000009399,DUPLICATE,2026-01-20,2026-04-09,LOST
DSP0000000035,TXN0000009955,DUPLICATE,2025-06-21,2025-08-29,WON
DSP0000000036,TXN0000010052,UNAUTHORIZED_TRANSFER,2024-06-02,2024-06-20,WON
DSP0000000037,TXN0000010696,AMOUNT_INCORRECT,2024-03-28,2024-04-24,LOST
DSP0000000038,TXN0000010974,DUPLICATE,2024-09-17,2024-10-10,WON
DSP0000000039,TXN0000010977,FRAUD_SUSPECTED,2024-09-17,2024-11-15,WON
DSP0000000040,TXN0000011087,MERCHANT_DISPUTE,2025-08-07,2025-10-23,WON
DSP0000000041,TXN0000011226,NOT_RECEIVED,2023-07-31,2023-09-24,WON
DSP0000000042,TXN0000011711,AMOUNT_INCORRECT,2025-04-14,2025-05-11,LOST
DSP0000000043,TXN0000012049,WRONG_BENEFICIARY,2023-08-28,2023-10-13,PARTIAL
DSP0000000044,TXN0000012176,SCAM_SUSPECTED,2024-08-23,2024-11-14,LOST
DSP0000000045,TXN0000012525,FRAUD_SUSPECTED,2024-02-26,2024-03-05,WON
DSP0000000046,TXN0000012763,AMOUNT_INCORRECT,2025-07-10,2025-08-12,LOST
DSP0000000047,TXN0000013209,MERCHANT_DISPUTE,2025-06-12,2025-07-21,WON
DSP0000000048,TXN0000013508,MERCHANT_DISPUTE,2023-03-08,2023-04-11,LOST
DSP0000000049,TXN0000013529,MERCHANT_DISPUTE,2023-04-16,2023-04-30,LOST
DSP0000000050,TXN0000013884,NOT_RECEIVED,2024-12-21,2025-02-13,WON
DSP0000000051,TXN0000014250,DUPLICATE,2026-01-21,2026-03-29,LOST
DSP0000000052,TXN0000014444,FRAUD_SUSPECTED,2026-02-25,2026-04-05,LOST
DSP0000000053,TXN0000014502,FRAUD_SUSPECTED,2023-05-27,2023-08-23,PENDING
DSP0000000054,TXN0000014633,AMOUNT_INCORRECT,2024-08-13,2024-09-03,LOST
DSP0000000055,TXN0000014649,FRAUD_SUSPECTED,2025-01-02,,LOST
DSP0000000056,TXN0000014729,NOT_RECEIVED,2025-02-12,2025-04-11,LOST
DSP0000000057,TXN0000014731,DUPLICATE,2025-02-21,2025-04-21,WON
DSP0000000058,TXN0000014804,WRONG_BENEFICIARY,2025-11-17,2026-02-01,PARTIAL
DSP0000000059,TXN0000015257,AMOUNT_INCORRECT,2025-03-27,2025-05-01,LOST
DSP0000000060,TXN0000015495,UNAUTHORIZED_TRANSFER,2026-01-23,2026-04-03,LOST
DSP0000000061,TXN0000015579,DUPLICATE,2026-03-14,2026-04-11,WON
DSP0000000062,TXN0000016023,DUPLICATE,2026-03-15,2026-05-01,WON
DSP0000000063,TXN0000016107,AMOUNT_INCORRECT,2025-12-02,2026-02-08,WON
DSP0000000064,TXN0000017374,SCAM_SUSPECTED,2024-08-20,2024-10-04,WON
DSP0000000065,TXN0000018384,AMOUNT_INCORRECT,2024-11-22,,PENDING
DSP0000000066,TXN0000018826,MERCHANT_DISPUTE,2024-10-22,2025-01-13,LOST
