dispute_id,transaction_id,reason,opened_date,resolved_date,outcome
DSP0000000001,TXN0000000541,DUPLICATE,2025-07-26,2025-07-31,WON
DSP0000000002,TXN0000000557,NOT_RECEIVED,2025-07-20,2025-10-12,WON
DSP0000000003,TXN0000001114,FRAUD_SUSPECTED,2024-11-17,2024-11-29,WON
DSP0000000004,TXN0000001140,NOT_RECEIVED,2024-10-21,2024-11-02,LOST
DSP0000000005,TXN0000001269,MERCHANT_DISPUTE,2025-12-03,2026-01-20,WON
DSP0000000006,TXN0000001314,AMOUNT_INCORRECT,2026-02-09,2026-04-25,WON
DSP0000000007,TXN0000001500,NOT_RECEIVED,2023-09-01,,WON
DSP0000000008,TXN0000001975,AMOUNT_INCORRECT,2025-09-11,2025-09-19,PARTIAL
DSP0000000009,TXN0000003137,FRAUD_SUSPECTED,2024-11-04,2024-12-26,WON
DSP0000000010,TXN0000003496,MERCHANT_DISPUTE,2025-07-14,,WON
DSP0000000011,TXN0000003835,DUPLICATE,2023-05-26,2023-07-28,WON
DSP0000000012,TXN0000004042,AMOUNT_INCORRECT,2024-04-03,2024-06-05,PENDING
DSP0000000013,TXN0000004217,NOT_RECEIVED,2025-07-03,2025-09-07,LOST
DSP0000000014,TXN0000004270,NOT_RECEIVED,2025-09-28,2025-12-18,PARTIAL
DSP0000000015,TXN0000004469,DUPLICATE,2024-03-11,2024-05-03,WON
DSP0000000016,TXN0000004665,AMOUNT_INCORRECT,2025-04-25,2025-06-05,LOST
DSP0000000017,TXN0000005179,FRAUD_SUSPECTED,2025-08-10,2025-09-12,WON
DSP0000000018,TXN0000005263,AMOUNT_INCORRECT,2026-03-31,2026-06-02,WON
DSP0000000019,TXN0000005408,AMOUNT_INCORRECT,2025-08-12,2025-10-13,WON
DSP0000000020,TXN0000005575,MERCHANT_DISPUTE,2023-12-24,2024-01-20,WON
DSP0000000021,TXN0000006343,DUPLICATE,2024-11-17,2025-01-24,LOST
DSP0000000022,TXN0000006682,DUPLICATE,2024-04-07,2024-05-27,WON
DSP0000000023,TXN0000006755,AMOUNT_INCORRECT,2024-07-19,,LOST
DSP0000000024,TXN0000006865,SCAM_SUSPECTED,2025-01-18,2025-02-24,LOST
DSP0000000025,TXN0000006911,DUPLICATE,2025-03-16,2025-05-07,LOST
DSP0000000026,TXN0000007428,FRAUD_SUSPECTED,2025-07-31,2025-09-05,PARTIAL
DSP0000000027,TXN0000007557,MERCHANT_DISPUTE,2024-11-12,2024-11-28,LOST
DSP0000000028,TXN0000008060,AMOUNT_INCORRECT,2023-07-06,2023-08-29,WON
DSP0000000029,TXN0000008430,DUPLICATE,2025-10-01,2025-11-26,WON
DSP0000000030,TXN0000008597,DUPLICATE,2023-06-05,2023-08-18,WON
DSP0000000031,TXN0000008663,DUPLICATE,2023-07-23,2023-09-09,WON
DSP0000000032,TXN0000008884,ATM_CASH_NOT_RECEIVED,2025-04-11,2025-05-12,WON
DSP0000000033,TXN0000009793,FRAUD_SUSPECTED,2025-04-17,2025-06-24,WON
DSP0000000034,TXN0000010341,DUPLICATE,2024-06-12,2024-08-25,WON
DSP0000000035,TXN0000010577,AMOUNT_INCORRECT,2023-04-05,,PARTIAL
DSP0000000036,TXN0000010689,MERCHANT_DISPUTE,2023-08-14,2023-09-02,WON
DSP0000000037,TXN0000010742,DUPLICATE,2023-08-28,2023-09-04,LOST
DSP0000000038,TXN0000010836,NOT_RECEIVED,2024-01-29,2024-02-29,WON
DSP0000000039,TXN0000011342,AMOUNT_INCORRECT,2023-12-05,2024-01-29,WON
DSP0000000040,TXN0000011891,SCAM_SUSPECTED,2025-06-09,2025-06-21,WON
DSP0000000041,TXN0000011918,NOT_RECEIVED,2025-10-29,2025-12-19,PARTIAL
DSP0000000042,TXN0000012177,NOT_RECEIVED,2024-05-01,2024-06-19,WON
