settlement_id,transaction_id,settlement_date,settled_amount,currency,fx_rate_used,fees,settlement_status
STL0000000001,TXN0000000001,2024-05-29,-69.84,EUR,1.0,-0.09,SETTLED
STL0000000002,TXN0000000002,2024-05-14,-1146.72,EUR,1.0,-3.06,SETTLED
STL0000000003,TXN0000000003,2024-06-28,-36.84,EUR,1.0,-0.09,SETTLED
STL0000000004,TXN0000000004,2024-06-04,-1675.81,EUR,1.0,0.0,SETTLED
STL0000000005,TXN0000000005,2024-06-28,5032.03,EUR,1.0,0.0,SETTLED
STL0000000006,TXN0000000006,2024-06-29,-962.72,EUR,1.0,-6.93,SETTLED
STL0000000007,TXN0000000007,2024-06-29,-34.18,EUR,1.0,-0.17,SETTLED
STL0000000008,TXN0000000008,2024-08-02,-48.04,EUR,1.0,-0.19,SETTLED
STL0000000009,TXN0000000009,2024-07-29,-39.49,EUR,1.0,-0.17,SETTLED
STL0000000010,TXN0000000010,2024-07-01,-40.0,EUR,1.0,-2.0,SETTLED
STL0000000011,TXN0000000011,2024-07-31,-3049.62,EUR,1.0,0.0,SETTLED
STL0000000012,TXN0000000012,2024-08-01,-20.0,EUR,1.0,0.0,SETTLED
STL0000000013,TXN0000000013,2024-08-22,-63.4,EUR,1.0,-0.16,SETTLED
STL0000000014,TXN0000000014,2024-08-18,-24.51,EUR,1.0,-0.04,SETTLED
STL0000000015,TXN0000000015,2024-08-27,-55.94,EUR,1.0,-0.27,SETTLED
STL0000000016,TXN0000000016,2024-08-12,-24.87,EUR,1.0,-0.14,SETTLED
STL0000000017,TXN0000000017,2024-08-06,-74.8,EUR,1.0,-0.44,SETTLED
STL0000000018,TXN0000000018,2024-08-18,5390.97,EUR,1.0,0.0,SETTLED
STL0000000019,TXN0000000019,2024-08-08,-62.59,EUR,1.0,-0.58,SETTLED
STL0000000020,TXN0000000020,2024-08-28,-20.0,EUR,1.0,-3.0,SETTLED
STL0000000021,TXN0000000021,2024-08-05,-77.95,EUR,1.0,-0.47,SETTLED
STL0000000022,TXN0000000022,2024-08-31,-172.05,EUR,1.0,-1.4,SETTLED
STL0000000023,TXN0000000023,2024-08-11,-54.59,EUR,1.0,-0.29,SETTLED
STL0000000024,TXN0000000024,2024-08-18,-56.46,EUR,1.0,-0.18,SETTLED
STL0000000025,TXN0000000025,2024-08-29,-4710.09,EUR,1.0,0.0,SETTLED
STL0000000026,TXN0000000026,2024-08-09,-180.56,EUR,1.0,-0.8,SETTLED
STL0000000027,TXN0000000027,2024-08-04,-71.54,EUR,1.0,-0.69,SETTLED
STL0000000028,TXN0000000028,2024-08-04,5932.71,EUR,1.0,0.0,SETTLED
STL0000000029,TXN0000000029,2024-08-07,-39.2,EUR,1.0,-0.34,SETTLED
STL0000000030,TXN0000000030,2024-08-31,-20.45,EUR,1.0,-0.18,SETTLED
STL0000000031,TXN0000000031,2024-08-14,-9.54,EUR,1.0,-0.03,SETTLED
STL0000000032,TXN0000000032,2024-08-07,-18.37,EUR,1.0,-0.07,SETTLED
STL0000000033,TXN0000000033,2024-08-21,-36.01,EUR,1.0,-0.33,SETTLED
STL0000000034,TXN0000000034,2024-08-28,-58.88,EUR,1.0,-0.58,SETTLED
STL0000000035,TXN0000000035,2024-08-08,-46.13,EUR,1.0,-0.09,SETTLED
STL0000000036,TXN0000000036,2024-08-23,-44.65,EUR,1.0,-0.28,SETTLED
STL0000000037,TXN0000000037,2024-08-30,2649.74,EUR,1.0,-2.0,SETTLED
STL0000000038,TXN0000000038,2024-09-01,-29.11,EUR,1.0,-0.14,SETTLED
STL0000000039,TXN0000000039,2024-08-15,3210.53,EUR,1.0,0.0,SETTLED
STL0000000040,TXN0000000040,2024-08-07,-24.0,EUR,1.0,-0.21,SETTLED
STL0000000041,TXN0000000041,2024-08-15,-67.46,EUR,1.0,-0.15,SETTLED
STL0000000042,TXN0000000042,2024-08-18,-31.44,EUR,1.0,-0.26,SETTLED
STL0000000043,TXN0000000043,2024-08-31,-3381.68,EUR,1.0,0.0,SETTLED
STL0000000044,TXN0000000044,2024-08-31,-9.86,EUR,1.0,-0.09,SETTLED
STL0000000045,TXN0000000045,2024-08-09,-51.54,EUR,1.0,-0.14,SETTLED
STL0000000046,TXN0000000046,2024-08-26,4011.58,EUR,1.0,0.0,SETTLED
STL0000000047,TXN0000000047,2024-08-19,-71.39,EUR,1.0,-0.39,SETTLED
STL0000000048,TXN0000000048,2024-08-09,-77.84,EUR,1.0,-0.36,SETTLED
STL0000000049,TXN0000000049,2024-08-09,-63.73,EUR,1.0,-0.25,SETTLED
STL0000000050,TXN0000000050,2024-08-15,-3572.77,EUR,1.0,0.0,SETTLED
STL0000000051,TXN0000000051,2024-08-27,-4301.68,EUR,1.0,0.0,SETTLED
STL0000000052,TXN0000000052,2024-08-22,-286.99,EUR,1.0,-2.33,SETTLED
STL0000000053,TXN0000000053,2024-08-18,-72.18,EUR,1.0,-0.25,SETTLED
STL0000000054,TXN0000000054,2024-09-01,-64.28,EUR,1.0,-0.32,SETTLED
STL0000000055,TXN0000000055,2024-08-30,2620.53,EUR,1.0,0.0,SETTLED
STL0000000056,TXN0000000056,2024-08-08,-200.0,EUR,1.0,0.0,SETTLED
STL0000000057,TXN0000000057,2024-09-01,-74.52,EUR,1.0,-0.17,SETTLED
STL0000000058,TXN0000000058,2024-08-16,-29.54,EUR,1.0,-0.18,SETTLED
STL0000000059,TXN0000000059,2024-08-15,-77.48,EUR,1.0,-0.35,SETTLED
